trial;score
maor_rest_prone_1_shot_05;10
maor_rest_prone_2_shot_01;7
maor_rest_prone_2_shot_02;9
maor_rest_prone_2_shot_03;8
maor_rest_prone_2_shot_04;6
maor_rest_prone_2_shot_05;10
maor_rest_prone_3_shot_01;9
maor_rest_prone_3_shot_02;10
maor_rest_prone_3_shot_03;9
maor_rest_prone_3_shot_04;9
maor_rest_prone_3_shot_05;8
maor_rest_standing_1_shot_01;2
maor_rest_standing_1_shot_02;8
maor_rest_standing_1_shot_03;8
maor_rest_standing_1_shot_04;6
maor_rest_standing_1_shot_05;3
maor_rest_standing_2_shot_01;8
maor_rest_standing_2_shot_02;3
maor_rest_standing_2_shot_03;3
maor_rest_standing_2_shot_04;6
maor_rest_standing_2_shot_05;6
maor_rest_standing_3_shot_01;5
maor_rest_standing_3_shot_02;2
maor_rest_standing_3_shot_03;8
maor_rest_standing_3_shot_04;6
maor_rest_standing_3_shot_05;2
maor_load_prone_1_shot_01;8
maor_load_prone_1_shot_02;9
maor_load_prone_1_shot_03;10
maor_load_prone_1_shot_04;9
maor_load_prone_1_shot_05;9
maor_load_prone_2_shot_01;8
maor_load_prone_2_shot_02;10
maor_load_prone_2_shot_03;10
maor_load_prone_2_shot_04;10
maor_load_prone_2_shot_05;9
maor_load_standing_1_shot_01;4
maor_load_standing_1_shot_02;3
maor_load_standing_1_shot_03;7
maor_load_standing_1_shot_04;1
maor_load_standing_1_shot_05;1
maor_load_standing_2_shot_01;5
maor_load_standing_2_shot_02;3
maor_load_standing_2_shot_03;5
maor_load_standing_2_shot_04;9
maor_load_standing_2_shot_05;2
mibr_rest_prone_1_shot_01;10
mibr_rest_prone_1_shot_02;9
mibr_rest_prone_1_shot_03;7
mibr_rest_prone_1_shot_04;8
mibr_rest_prone_1_shot_05;8
mibr_rest_prone_2_shot_01;8
mibr_rest_prone_2_shot_02;8
mibr_rest_prone_2_shot_03;9
mibr_rest_prone_2_shot_04;10
mibr_rest_prone_2_shot_05;8
mibr_rest_prone_3_shot_01;10
mibr_rest_prone_3_shot_02;9
mibr_rest_prone_3_shot_03;7
mibr_rest_prone_3_shot_04;8
mibr_rest_prone_3_shot_05;8
mibr_rest_standing_1_shot_01;5
mibr_rest_standing_1_shot_02;6
mibr_rest_standing_1_shot_03;8
mibr_rest_standing_1_shot_04;7
mibr_rest_standing_1_shot_05;9
mibr_rest_standing_2_shot_01;8
mibr_rest_standing_2_shot_02;6
mibr_rest_standing_2_shot_03;8
mibr_rest_standing_2_shot_04;6
mibr_rest_standing_2_shot_05;9
mibr_rest_standing_3_shot_01;5
mibr_rest_standing_3_shot_02;4
mibr_rest_standing_3_shot_03;4
mibr_rest_standing_3_shot_04;10
mibr_rest_standing_3_shot_05;7
mibr_load_prone_1_shot_01;8
mibr_load_prone_1_shot_02;8
mibr_load_prone_1_shot_03;8
mibr_load_prone_1_shot_04;10
mibr_load_prone_1_shot_05;6
mibr_load_prone_2_shot_01;0
mibr_load_prone_2_shot_02;0
mibr_load_prone_2_shot_03;0
mibr_load_prone_2_shot_04;0
mibr_load_prone_2_shot_05;9
mibr_load_standing_1_shot_01;5
mibr_load_standing_1_shot_02;0
mibr_load_standing_1_shot_03;2
mibr_load_standing_1_shot_04;0
mibr_load_standing_1_shot_05;9
mibr_load_standing_2_shot_01;2
mibr_load_standing_2_shot_02;6
mibr_load_standing_2_shot_03;4
mibr_load_standing_2_shot_04;7
mibr_load_standing_2_shot_05;2
mire_rest_prone_1_shot_01;10
mire_rest_prone_1_shot_02;10
mire_rest_prone_1_shot_03;9
mire_rest_prone_1_shot_04;9
mire_rest_prone_1_shot_05;8
mire_rest_prone_2_shot_01;10
mire_rest_prone_2_shot_02;10
mire_rest_prone_2_shot_03;8
mire_rest_prone_2_shot_04;9
mire_rest_prone_2_shot_05;9
mire_rest_prone_3_shot_01;8
mire_rest_prone_3_shot_02;10
mire_rest_prone_3_shot_03;10
mire_rest_prone_3_shot_04;9
mire_rest_prone_3_shot_05;10
mire_rest_standing_1_shot_01;5
mire_rest_standing_1_shot_02;9
mire_rest_standing_1_shot_03;6
mire_rest_standing_1_shot_04;8
mire_rest_standing_1_shot_05;6
mire_rest_standing_2_shot_01;7
mire_rest_standing_2_shot_02;5
mire_rest_standing_2_shot_03;5
mire_rest_standing_2_shot_04;6
mire_rest_standing_2_shot_05;7
mire_rest_standing_3_shot_01;4
mire_rest_standing_3_shot_02;6
mire_rest_standing_3_shot_03;8
mire_rest_standing_3_shot_04;7
mire_rest_standing_3_shot_05;3
mire_load_prone_1_shot_01;9
